date,최대전력(MW)
2005.1.1,42897
2005.1.2,41507
2005.1.3,47151
2005.1.4,48671
2005.1.5,48249
2005.1.6,48187
2005.1.7,48554
2005.1.8,46689
2005.1.9,45202
2005.1.10,49683
2005.1.11,49457
2005.1.12,49337
2005.1.13,49444
2005.1.14,48843
2005.1.15,46977
2005.1.16,44757
2005.1.17,48285
2005.1.18,48280
2005.1.19,48787
2005.1.20,49201
2005.1.21,49023
2005.1.23,44446
2005.1.24,48192
2005.1.25,48099
2005.1.26,48104
2005.1.28,47775
2005.1.29,46257
2005.1.30,44556
2005.2.1,49990
2005.2.2,49820
2005.2.4,49315
2005.2.6,44788
2005.2.7,42854
2005.2.9,36073
2005.2.10,38695
2005.2.11,42630
2005.2.13,43689
2005.2.14,48186
2005.2.15,47972
2005.2.17,47802
2005.2.18,48199
2005.2.20,46950
2005.2.21,49555
2005.2.23,48821
2005.2.26,47397
2005.2.28,45646
2005.3.1,46189
2005.3.2,48722
2005.3.3,49092
2005.3.4,48698
2005.3.5,46332
2005.3.6,44565
2005.3.7,47730
2005.3.8,47363
2005.3.9,46945
2005.3.10,46742
2005.3.11,48374
2005.3.12,46440
2005.3.13,44533
2005.3.14,47709
2005.3.15,47816
2005.3.16,46814
2005.3.17,47172
2005.3.18,47386
2005.3.19,44303
2005.3.20,41783
2005.3.21,46339
2005.3.22,46539
2005.3.23,46565
2005.3.24,47815
2005.3.25,46982
2005.3.26,44215
2005.3.27,41052
2005.3.28,46478
2005.3.29,46546
2005.3.30,46029
2005.3.31,45770
2005.4.1,45123
2005.4.2,41926
2005.4.3,40539
2005.4.4,44798
2005.4.5,42685
2005.4.6,45265
2005.4.7,44676
2005.4.8,44041
2005.4.9,42386
2005.4.10,39765
2005.4.11,44792
2005.4.12,45186
2005.4.13,45044
2005.4.14,44921
2005.4.15,44758
2005.4.16,42000
2005.4.17,39316
2005.4.18,44324
2005.4.19,44446
2005.4.20,44675
2005.4.21,44922
2005.4.22,44630
2005.4.23,41787
2005.4.24,39048
2005.4.25,43672
2005.4.26,44121
2005.4.27,43615
2005.4.28,43750
2005.4.29,43318
2005.4.30,40655
2005.5.1,36678
2005.5.2,42752
2005.5.3,43554
2005.5.4,43065
2005.5.5,40743
2005.5.6,43561
2005.5.7,40987
2005.5.8,38968
2005.5.9,44072
2005.5.10,44107
2005.5.11,44392
2005.5.12,44421
2005.5.13,43561
2005.5.14,40994
2005.5.15,38025
2005.5.16,43583
2005.5.17,43981
2005.5.18,43802
2005.5.19,43532
2005.5.20,43119
2005.5.21,40514
2005.5.22,38470
2005.5.23,43763
2005.5.24,43810
2005.5.25,43624
2005.5.26,44300
2005.5.27,43871
2005.5.28,40962
2005.5.29,38225
2005.5.30,44006
2005.5.31,44049
2005.6.1,43446
2005.6.2,43468
2005.6.3,43743
2005.6.4,40480
2005.6.5,36940
2005.6.6,40088
2005.6.7,44433
2005.6.8,46046
2005.6.9,46315
2005.6.10,43949
2005.6.11,41569
2005.6.12,38490
2005.6.13,46823
2005.6.14,47528
2005.6.15,45572
2005.6.16,45891
2005.6.17,46173
2005.6.18,43198
2005.6.19,38832
2005.6.21,48473
2005.6.22,48917
2005.6.23,49956
2005.6.24,50603
2005.6.25,46104
2005.6.26,40851
2005.6.27,48664
2005.6.28,48314
2005.6.29,48559
2005.6.30,50343
2005.7.1,46720
2005.7.2,43218
2005.7.3,38646
2005.7.4,47063
2005.7.5,46511
2005.7.6,48473
2005.7.7,48010
2005.7.8,48156
2005.7.9,42719
2005.7.10,39361
2005.7.11,44711
2005.7.12,46354
2005.7.13,47016
2005.7.14,49010
2005.7.15,50200
2005.7.16,46072
2005.7.17,41595
2005.7.18,51624
2005.7.19,50965
2005.7.20,52112
2005.7.21,52725
2005.7.22,53712
2005.7.23,50239
2005.7.24,44052
2005.7.25,52230
2005.7.26,52288
2005.7.27,51903
2005.7.28,49576
2005.7.29,49939
2005.7.30,44218
2005.7.31,41304
2005.8.1,43417
2005.8.2,44052
2005.8.3,44195
2005.8.4,49045
2005.8.5,51145
2005.8.6,48041
2005.8.7,43036
2005.8.8,49468
2005.8.9,50618
2005.8.10,50228
2005.8.11,49596
2005.8.12,50419
2005.8.13,47490
2005.8.14,43033
2005.8.15,45678
2005.8.16,53601
2005.8.17,54631
2005.8.18,52747
2005.8.19,49558
2005.8.20,43183
2005.8.21,39680
2005.8.22,47123
2005.8.23,47458
2005.8.24,45508
2005.8.25,45989
2005.8.26,46025
2005.8.27,43196
2005.8.28,40011
2005.8.29,48934
2005.8.30,48676
2005.8.31,49865
2005.9.1,52752
2005.9.2,52052
2005.9.3,45178
2005.9.4,39059
2005.9.5,46476
2005.9.6,45112
2005.9.7,47953
2005.9.8,48754
2005.9.9,47653
2005.9.10,45088
2005.9.11,42384
2005.9.12,51162
2005.9.13,49152
2005.9.14,47388
2005.9.15,46901
2005.9.16,44251
2005.9.17,34880
2005.9.18,31214
2005.9.19,33350
2005.9.20,40105
2005.9.21,43757
2005.9.22,45194
2005.9.23,45643
2005.9.24,42017
2005.9.25,38327
2005.9.26,45914
2005.9.27,46012
2005.9.28,45383
2005.9.29,45851
2005.9.30,45574
2005.10.1,41891
2005.10.2,37558
2005.10.3,40272
2005.10.4,44466
2005.10.5,44433
2005.10.6,44901
2005.10.7,44575
2005.10.8,41828
2005.10.9,39262
2005.10.10,44716
2005.10.11,45034
2005.10.12,44183
2005.10.13,45395
2005.10.14,44539
2005.10.15,41114
2005.10.16,39174
2005.10.17,44638
2005.10.18,45096
2005.10.19,44963
2005.10.20,45534
2005.10.21,45289
2005.10.22,43191
2005.10.23,40636
2005.10.25,45859
2005.10.26,45782
2005.10.27,46267
2005.10.28,45867
2005.10.29,42952
2005.10.30,41053
2005.10.31,46111
2005.11.1,46085
2005.11.2,46096
2005.11.3,45929
2005.11.4,45801
2005.11.6,40575
2005.11.7,46169
2005.11.8,46854
2005.11.9,46537
2005.11.10,46363
2005.11.11,46163
2005.11.12,44006
2005.11.13,41776
2005.11.14,47732
2005.11.15,48663
2005.11.16,48741
2005.11.17,49336
2005.11.18,49125
2005.11.19,46249
2005.11.20,43995
2005.11.21,49171
2005.11.22,49982
2005.11.23,48987
2005.11.24,49231
2005.11.25,48663
2005.11.26,45568
2005.11.27,43518
2005.11.28,48733
2005.11.29,49402
2005.11.30,49589
2005.12.1,49095
2005.12.2,49817
2005.12.3,47277
2005.12.4,45864
2005.12.5,52511
2005.12.6,52236
2005.12.7,51809
2005.12.8,52468
2005.12.9,51768
2005.12.10,49138
2005.12.11,47081
2005.12.12,53970
2005.12.13,53789
2005.12.14,53330
2005.12.15,53352
2005.12.16,52799
2005.12.17,51395
2005.12.18,49567
2005.12.19,54451
2005.12.20,53700
2005.12.21,54154
2005.12.22,53591
2005.12.23,52786
2005.12.24,50737
2005.12.25,47881
2005.12.26,53935
2005.12.27,53809
2005.12.28,53366
2005.12.29,52570
2005.12.30,50941
2005.12.31,48339
2006.1.1,44836
2006.1.2,50203
2006.1.3,52460
2006.1.4,53740
2006.1.5,54212
2006.1.6,54020
2006.1.7,51620
2006.1.8,49286
2006.1.9,53788
2006.1.10,52715
2006.1.11,52545
2006.1.12,52493
2006.1.13,51549
2006.1.14,48242
2006.1.15,46009
2006.1.16,51947
2006.1.17,51457
2006.1.18,51500
2006.1.19,51473
2006.1.20,51127
2006.1.21,49124
2006.1.22,47348
2006.1.23,52671
2006.1.24,52999
2006.1.25,52593
2006.1.26,51551
2006.1.27,49129
2006.1.28,44859
2006.1.29,39237
2006.1.30,40115
2006.1.31,44351
2006.2.1,50046
2006.2.2,51455
2006.2.3,53262
2006.2.4,51099
2006.2.5,48937
2006.2.6,52703
2006.2.7,52567
2006.2.8,53397
2006.2.9,53139
2006.2.10,52370
2006.2.11,49660
2006.2.12,47074
2006.2.13,51141
2006.2.14,50606
2006.2.15,50727
2006.2.16,51768
2006.2.17,52206
2006.2.18,50148
2006.2.19,46695
2006.2.20,50471
2006.2.21,50252
2006.2.22,51047
2006.2.23,50854
2006.2.24,50030
2006.2.25,46810
2006.2.26,45237
2006.2.27,50942
2006.2.28,50352
2006.3.1,48158
2006.3.2,51460
2006.3.3,51123
2006.3.4,47550
2006.3.5,44419
2006.3.6,49665
2006.3.7,49436
2006.3.8,49450
2006.3.9,49217
2006.3.10,48410
2006.3.11,46056
2006.3.12,45784
2006.3.13,51722
